"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Amazing Team Race A Team Based Agile Adoption","G. Roche; B. Vasquez-McCall",UC Merced; NA,2009 Agile Conference,"25 Sep 2009","2009","","","141","146","In 2008, our organization successfully implemented an agile software development approach (Scrum) across the Application Development department after piloting Scrum in 2007 with a few projects. In just four months, our department consisting of over 200 contractors and 70 full time employees transitioned from a traditional waterfall-style approach (RUP) to Scrum. Less then 2 months later, we were running 40 development projects that were time boxed to three months. In the previous year, we had 20 active projects with duration of 9 to 18 months. After a year of introducing Agile, members of our organization were well aware of what Scrum was, but growing weary of training. There was a clear need to create excitement around the adoption and scaling of Scrum within the application development group. This led us to develop what we called ‘The Amazing Team Race.’ This experience report is about how an agile transition team used a team-based approach for creating excitement while scaling Scrum in a globally distributed organization.","","978-0-7695-3768-9","10.1109/AGILE.2009.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261094","Agile;Team;Adoption;Amzaing Team Race","Contracts;Programming;Application software;Project management;Auditory system;Companies;Software performance;Software quality","","6","","3","IEEE","25 Sep 2009","24-28 Aug. 2009","24-28 Aug. 2009","IEEE","IEEE Conferences"
"Agile adoption experience: A case study in the U.A.E","H. Hajjdiab; A. S. Taleb","College of Engineering and Computer Science, Abu Dhabi University, Abu Dhabi, U.A.E; College of Engineering and Computer Science, Abu Dhabi University, Abu Dhabi, U.A.E",2011 IEEE 2nd International Conference on Software Engineering and Service Science,"11 Aug 2011","2011","","","31","34","Agile software development methods and techniques have gained attention in the recent few years. The main motive behind adopting agile software development approach is to improve end-product quality, enhance developer's moral and achieve stakeholder satisfaction. However, Agile adoption always comes with special challenges and thus fundamental organizational changes are necessary for successful outcomes. In this paper we present an in-depth case study for adopting agile methods to a government entity in the United Arab Emirates (U.A.E). The government entity software development teams have used the traditional waterfall approach for many years and decided to move to agile software development approach. This study highlights the challenges faced during the adoption of the Scrum method. Without proper preparation, the challenges will be significant enough to put the agile adoption on hold and make the software development teams go back to the traditional waterfall method.","2327-0594","978-1-4244-9698-3","10.1109/ICSESS.2011.5982247","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982247","Agile software development;Scrum;Software Engineering;case study","Programming;Organizations;Documentation;Software;Training;Software engineering;Force","","12","","17","IEEE","11 Aug 2011","15-17 July 2011","15-17 July 2011","IEEE","IEEE Conferences"
"Transition From Waterfall to Agile Methodology: An Action Research Study","T. Natarajan; S. Pichai","Department of Computer Science and Applications, The Gandhigram Rural Institute-Deemed to be University, Gandhigram, Tamil Nadu, India; Department of Computer Science and Applications, The Gandhigram Rural Institute-Deemed to be University, Gandhigram, Tamil Nadu, India",IEEE Access,"8 Apr 2024","2024","12","","49341","49362","In recent years, software companies have shifted from plan-based software development(PBSD) to Agile software development (ASD) for improved efficiency and product delivery, with ASD demonstrating superior benefits compared to traditional approaches. This paper presents an in-depth exploration of an action research study detailing the transition of a software development team from a plan-based paradigm to Agile methodology. The primary goal is to provide a comprehensive account of the Agile transition journey within the context of action research and to underscore the associated benefits derived from this iterative and participatory research approach. Spanning two years, the study progresses through four cycles of iterations, allowing for continuous refinement of the Agile adoption process. Findings derived from the action research study showcase positive and tangible outcomes of the transition to Agile methodology. Notable improvements include heightened deliverable quality, enhanced intra-team communication, strengthened collaboration with stakeholders, and an increased frequency of software releases. Comparative analysis with PBSD highlights Agile advantages, especially in defect trend, the number of releases, defect lifecycle, and total automation percentage. Agile metrics, including the Burndown Chart, Velocity, Say-Do Ratio, Defect Density, Execution Maturity and Defect-less Stories, demonstrate substantial improvements, reinforcing the effectiveness of the Agile transition process. The study concludes that the transition to Agile methodology demonstrates significant improvements in various aspects of software development. Positive outcomes support the trend of adopting Agile methodologies in the software industry, emphasizing the effectiveness of the Agile transition process.","2169-3536","","10.1109/ACCESS.2024.3384097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10488855","Agile methodology;scrum;agile transition;agile transformation;action research","Software engineering;Collaboration;Training;Stakeholders;Iterative methods;Variable speed drives;Scrum (Software development);Research initiatives;Software development management;Agile software development","","26","","36","CCBYNCND","2 Apr 2024","2024","","IEEE","IEEE Journals"
"Impact of Agile Scrum Methodology on Time to Market and Code Quality – A Case Study","K. Kaur; M. Khurana; Manisha","Education, Training and Assessment, Infosys Limited; Institute of Engineering and Technology, Chitkara University, Punjab, India; Education, Training and Assessment, Infosys Limited","2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)","9 Mar 2022","2021","","","1673","1678","The software industry's Development Lifecycle is changing dramatically, with traditional, heavy-weight processes giving way to simple, light-weight Agile software development (ASD) methods. ASD develops outstanding, high-quality software in short, rapid iterations that is responsive to changing business conditions. Adaptive planning, gradual design and deployment, and a time-bound strategy are all encouraged. Agile promotes a quick and flexible response to change. Agile systems have the ability to improve customer satisfaction, lower bug rates, shorten cycle times, and enable faster adaption to quickly changing company needs. Agile helps to deliver early but might compromise on the quality of software delivered. This research paper presents the performance analysis of Agile Scrum methodology towards Time to Market and Code Quality based on various project parameters like time to deliver the product, number of bugs and code smells and amount of duplicate code.","","978-1-6654-3811-7","10.1109/ICAC3N53548.2021.9725375","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725375","Agile Software Development;Scrum Methodology;Time to market;Code Quality;Traditional Software Development","Codes;Computer bugs;Customer satisfaction;Time to market;Companies;Software;Planning","","6","","15","IEEE","9 Mar 2022","17-18 Dec. 2021","17-18 Dec. 2021","IEEE","IEEE Conferences"
"Effectiveness of Scrum in Software Development a Bibliometric Analysis","I. Sutedja; M. P. L. Attar; L. K. Alfaridzzi","Information Systems Department, Bina Nusantara University, Jakarta, Indonesia; IT Departement, Brilyan Trimatra Utama, Bekasi, Indonesia; IT Departement, Brilyan Trimatra Utama, Bekasi, Indonesia",2025 7th International Conference on Cybernetics and Intelligent System (ICORIS),"22 Dec 2025","2025","","","1","6","To examine the current research state of SCRUM methodology, this study uses a bibliometric analysis and utilizing VOS viewer. We visualized the connection between key concepts in SCRUM literature, focusing on the impact of SCRUM in productivity, software quality, team collaboration, and customer satisfaction. The visualization resulting in a network with four different clusters. The highlight of our analysis is the centrality of SCRUM effectiveness in literature. While some node like productivity and quality are not present, they are likely to be subsumed under the broader concept of effectiveness. Key findings in this literature include both theoretical foundation and practical implementation of SCRUM. This comprehensive approach in this literature provide insight about SCRUM contribution to its overall impact on software development project. While the analysis provides a high-level overview of SCRUM, further in-depth analysis is needed to justify SCRUM impact on software development. In conclusion, between the identified cluster Scrum have indication that the impact of project outcome can be studied holistically, considering its methodology, framework, practice, and events.","","979-8-3315-5404-0","10.1109/ICORIS67789.2025.11296046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11296046","SCRUM;Software Development;Impact;Effectiveness","Productivity;Visualization;Bibliometrics;Customer satisfaction;Collaboration;Software quality;Scrum (Software development);Heat maps;Software development management;Systematic literature review","","","","25","IEEE","22 Dec 2025","12-13 Sept. 2025","12-13 Sept. 2025","IEEE","IEEE Conferences"
"What Makes Agile Software Development Agile?","M. Kuhrmann; P. Tell; R. Hebig; J. Klünder; J. Münch; O. Linssen; D. Pfahl; M. Felderer; C. R. Prause; S. G. MacDonell; J. Nakatumba-Nabende; D. Raffo; S. Beecham; E. Tüzün; G. López; N. Paez; D. Fontdevila; S. A. Licorish; S. Küpper; G. Ruhe; E. Knauss; Ö. Özcan-Top; P. Clarke; F. McCaffery; M. Genero; A. Vizcaino; M. Piattini; M. Kalinowski; T. Conte; R. Prikladnicki; S. Krusche; A. Coşkunçay; E. Scott; F. Calefato; S. Pimonova; R. -H. Pfeiffer; U. P. Schultz; R. Heldal; M. Fazal-Baqaie; C. Anslow; M. Nayebi; K. Schneider; S. Sauer; D. Winkler; S. Biffl; M. C. Bastarrica; I. Richardson","Faculty of Computer Science and Mathematics, University of Passau, Passau, Germany; Pervasive Interaction Technology Lab, IT-Universitetet i Kobenhavn, København, Denmark; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Software Engineering Group, Leibniz Universität Hannover, Hannover, Germany; Herman Hollerith Center, Hochschule Reutlingen, Reutlingen, Germany; Hochschulzentrum Düsseldorf, FOM Hochschule, Düsseldorf, Germany; Institute of Computer Science, University of Tartu, Tartu, Estonia; Department of Computer Science, University of Innsbruck, Innsbruck, Austria; Raumfahrtmanagement - Digitalisierung, Software und KI, Deutsches Zentrum fur Luft und Raumfahrt, Stuttgart, Germany; Department of Computer Science, Auckland University of Technology, Auckland, New Zealand; School of Computing and Informatics Technology, Makerere University, Kampala, Uganda; Maseeh College of Engineering and Computer Science, Portland State University, Portland, OR, USA; LERO, Limerick University, Limerick, Ireland; Department of Computer Engineering, Bilkent University, Çankaya/Ankara, Turkey; CITIC, University of Costa Rica, San José, Costa Rica; Facultad de Ingeniera, Universidad Nacional de Tres de Febrero, Sáenz Peña, Buenos Aires, Argentina; Facultad de Ingeniera, Universidad Nacional de Tres de Febrero, Sáenz Peña, Buenos Aires, Argentina; Department of Information Science, University of Otago, Dunedin, New Zealand; ISSE, Technical University of Clausthal, Clausthal-Zellerfeld, Germany; Department of Computer Science and Electrical Engineering, University of Calgary, Calgary, AB, Canada; Department of Computer Science and Engineering, Chalmers Tekniska Hogskola Campus Lindholmen, Göteborg, Sweden; Department of Information Systems, Middle East Technical University, Çankaya/Ankara, Turkey; School of Computing, Dublin City University, Dublin 9, Ireland; RSRC, Dundalk Institute of Technology, Dundalk, Ireland; DTSI, University of Castilla-La Mancha, Ciudad Real, Spain; DTSI, University of Castilla-La Mancha, Ciudad Real, Spain; Department of Computer Science, University of Castilla-La Mancha, Ciudad Real, Spain; Department of Informatics, Pontificia Universidade Catolica do Rio de Janeiro, Rio de Janeiro, Brazil; Instituto de Computação, Federal University of Amazonas, Manaus, Brazil; Department of Computer Science, Pontifical Catholic University of Rio Grande do Sul, Porto Alegre, Brazil; Department of Computer Science, Technical University of Munich, München, Germany; Department of Computer Engineering, Ataturk University, Yakutiye, Turkey; Department of Software Engineering, University of Tartu, Tartu, Estonia; Dipartimento di Informatica, University of Bari, Bari, Italy; HSE, National Research University Higher School of Economics, Moscow, Russia; Computer Science Department, IT University of Copenhagen, København, Denmark; MMMI, University of Southern Denmark, Odense, Denmark; Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway; IEM, Fraunhofer-Institut für Entwurfstechnik Mechatronik IEM, Paderborn, Germany; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Department of Computer Science, Ecole Polytechnique de Montreal, Montréal, QC, Canada; Department of Software Engineering, Leibniz Universität Hannover, Hannover, Germany; SE, Paderborn University, Paderborn, Germany; Institut für Softwaretechnik und Interaktive Systeme, Technische Universitat Wien, Vienna, Austria; Department of Software Engineering, Technische Universitat Wien, Vienna, Austria; Computer Science Department, Universidad de Chile, Santiago, Chile; CSIS, Lero-the Irish Software Engineering Research Centre, Limerick, Ireland",IEEE Transactions on Software Engineering,"16 Sep 2022","2022","48","9","3523","3539","Together with many success stories, promises such as the increase in production speed and the improvement in stakeholders’ collaboration have contributed to making agile a transformation in the software industry in which many companies want to take part. However, driven either by a natural and expected evolution or by contextual factors that challenge the adoption of agile methods as prescribed by their creator(s), software processes in practice mutate into hybrids over time. Are these still agile? In this article, we investigate the question: what makes a software development method agile? We present an empirical study grounded in a large-scale international survey that aims to identify software development methods and practices that improve or tame agility. Based on 556 data points, we analyze the perceived degree of agility in the implementation of standard project disciplines and its relation to used development methods and practices. Our findings suggest that only a small number of participants operate their projects in a purely traditional or agile manner (under 15 percent). That said, most project disciplines and most practices show a clear trend towards increasing degrees of agility. Compared to the methods used to develop software, the selection of practices has a stronger effect on the degree of agility of a given discipline. Finally, there are no methods or practices that explicitly guarantee or prevent agility. We conclude that agility cannot be defined solely at the process level. Additional factors need to be taken into account when trying to implement or improve agility in a software company. Finally, we discuss the field of software process-related research in the light of our findings and present a roadmap for future research.","1939-3520","","10.1109/TSE.2021.3099532","Estonian Centre of Excellence in ICT Research; Science Foundation Ireland(grant numbers:13/RC/2094_2); European Regional Development Fund; Southern & Eastern Regional Operational Programme; ECLIPSE Project; Ministerio de Ciencia, Innovación y Universidades(grant numbers:RTI2018-094283-B-C31); Software Center Research Network; Vinnova FFI NGEA; Conselho Nacional de Desenvolvimento Científico e Tecnológico; Christian Doppler Forschungsgesellschaft; Austrian Federal Ministry for Digital and Economic Affairs; Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9496156","Agile software development;hybrid development methods;survey research;software development;software process","Software;Instruments;Companies;Data collection;Market research;Collaboration;Standards","","76","","88","IEEE","26 Jul 2021","1 Sept. 2022","","IEEE","IEEE Journals"
"Agile software development: Impact on productivity and quality","A. Ahmed; S. Ahmad; N. Ehsan; E. Mirza; S. Z. Sarwar","Department of Engineering Management, Center for Advanced Studies, Engineering, Islamabad, Pakistan; Department of Engineering Management, Center for Advanced Studies, Engineering, Islamabad, Pakistan; Department of Engineering Management, Center for Advanced Studies, Engineering, Islamabad, Pakistan; Department of Engineering Management, Center for Advanced Studies, Engineering, Islamabad, Pakistan; Department of Engineering Management, Center for Advanced Studies, Engineering, Islamabad, Pakistan",2010 IEEE International Conference on Management of Innovation & Technology,"24 Jun 2010","2010","","","287","291","Agile means swift, active and responsive and this is what agile software development methodology refers to. Agile software development methodologies are widely accepted these days. It is an iterative approach to keep pace with dynamic development environments. Traditional software development methods are not efficient enough to convene with the rapid change in requirements and short iterations that are required for efficient product delivery. This study contains a quantitative analysis of the agile methodologies in practice, and the benefits associated with them. Analyses are done on a defined set of attributes that result in increased productivity and improved quality through the application of these methodologies. A development model has also been derived from empirical research conducted in this paper.","","978-1-4244-6567-5","10.1109/ICMIT.2010.5492703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5492703","Agile;Agile Software Development;Productivity;Quality","Programming;Productivity;Software testing;Software quality;Documentation;Software development management;Collaborative software;Costs;Research and development management;Iterative methods","","54","","11","IEEE","24 Jun 2010","2-5 June 2010","2-5 June 2010","IEEE","IEEE Conferences"
"Comparing extreme programming and Waterfall project results","F. Ji; T. Sedano","Carnegie Mellon University, Mountain View, CA, USA; Carnegie Mellon University, Mountain View, CA, USA",2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T),"16 Jun 2011","2011","","","482","486","Waterfall and Extreme Programming are two software project methods used for project management. Although there are a number of opinions comparing the two methods regarding how they should be applied, none have used project data to clearly conclude which one is better. In this paper, we present the results of a controlled empirical study conducted at Carnegie Mellon University in Silicon Valley to learn about the effective transition from traditional development to agile development. We conducted a comparison research against these two approaches. Multiple teams were assigned a project; some used Waterfall development, others used Extreme Programming. The purpose of this research is to look at advantages and disadvantages based upon the outcomes, generated artifacts, and metrics produced by the teams.","2377-570X","978-1-4577-0348-5","10.1109/CSEET.2011.5876129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876129","","Java;Positron emission tomography;Software engineering;Measurement;Software;Programming profession","","16","","11","IEEE","16 Jun 2011","22-24 May 2011","22-24 May 2011","IEEE","IEEE Conferences"
"Quality Metrics for Hybrid Software Development Organizations – A Case Study","S. Pradhan; V. Nanniyur; P. Melanahalli; M. Palla; S. Chulani","Cisco Systems, Inc., San Jose, CA, USA; Cisco Systems, Inc., San Jose, CA, USA; Cisco Systems, Inc., San Jose, CA, USA; Cisco Systems, Inc., San Jose, CA, USA; Cisco Systems, Inc., San Jose, CA, USA","2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","7 Oct 2019","2019","","","505","506","As the software industry transitions from a license-based model to a subscription-based Software-as-a-Service (SaaS) model, many software development organizations are transforming to a hybrid development model using agile and CI/CD practices for some products while continuing to use waterfall methods for other products. The traditional metrics used for measuring software quality in the waterfall or agile paradigms do not apply to this hybrid organization. Our paper presents a framework for defining a comprehensive set of quality metrics for hybrid organizations. The metrics we define are for all major milestones during the software development life cycle and are effective for all development methodologies. This framework has been implemented by all on-prem products in Cisco Systems, Inc.","","978-1-7281-3925-8","10.1109/QRS-C.2019.00097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859415","quality metrics;quality management system;agile;waterfall;hybrid development method","Conferences;Software quality;Software reliability;Security","","5","","5","IEEE","7 Oct 2019","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Using Agile Practices to Address Defects in Medical Device Software Development: A Survey of Medical Device Software Organisations in Ireland","M. Nyirenda; M. Mc Hugh; R. Loughran; F. McCaffery","Regulated Software Research Centre, Dundalk Institute of Technology, Dundalk, Ireland; Regulated Software Research Centre, Dundalk Institute of Technology, Dundalk, Ireland; Regulated Software Research Centre, Dundalk Institute of Technology, Dundalk, Ireland; Regulated Software Research Centre, Dundalk Institute of Technology, Dundalk, Ireland","2024 8th International Conference on Computer, Software and Modeling (ICCSM)","27 Aug 2024","2024","","","1","4","Agile Practices are widely used in the noncritical software development domain and are advocated to reduce defects. However, there is limited evidence in the existing literature about their exclusive implementation in Medical Device Software (MDS) development. Prior research has shown that agile practices are often integrated into traditional approaches for specific purposes, but there is little evidence in the existing literature about using agile practices specifically for addressing defects in MDS development. Through a survey of MDS organisations in Ireland, this study investigated the use of agile practices for addressing defects. The findings revealed that organisations implement agile practices for addressing defects, but prioritise identifying defects during coding and testing phases, primarily using code review, unit testing, integration testing, and coding standards. Defect identification usually occurs in the later part of the software development cycle. However, addressing defects late in the software development cycle can lead to costly rework and potential catastrophes when defects slip into the final product. We argue that in MDS development, both defect prevention and identification should be prioritised and implemented to manage defects more effectively and comprehensively. This approach could help to avoid costly rework and potential consequences arising due to defects that occur later. Agile practices can help in preventing defects early in the software development process and identifying those that slip to later stages, thereby ensuring overall software quality.","","979-8-3503-6713-3","10.1109/ICCSM63823.2024.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638583","agile practices;medical device software;defects;software defects;defect prevention;defect identificatio n","Surveys;Medical devices;Reviews;Prevention and mitigation;Software quality;Encoding;Object recognition","","1","","20","IEEE","27 Aug 2024","4-6 July 2024","4-6 July 2024","IEEE","IEEE Conferences"
"Towards High Quality Software Development with Extreme Programming Methodology: Practices from Real Software Projects","B. Xu","College of Computer Science & Information Engineering, Zhejiang Gongshang University, Hangzhou, China",2009 International Conference on Management and Service Science,"30 Oct 2009","2009","","","1","4","Software quality is essential to software development projects, from the aspects of the customer, sponsor, development team and quality assurance team. Though there are kinds of test tools which help us to find the defect more efficiently, many researchers agreed that it is not enough nor efficient to validate the software product after it is produced. At the other hand, some agile software processes such as extreme programming enable us to produce high quality product but with too much different requirement to the project management. This paper introduces extreme programming (XP) practices in some real software projects, which can be helpful for project stakeholders to manage the quality efficiently and with less risk.","","978-1-4244-4638-4","10.1109/ICMSS.2009.5302042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5302042","","Software quality;Quality management;Project management;Programming profession;Feedback;Logic testing;Educational institutions;Computer science;Quality assurance;Software testing","","5","","12","IEEE","30 Oct 2009","20-22 Sept. 2009","20-22 Sept. 2009","IEEE","IEEE Conferences"
"Challenges in Understanding the Relationship between Teamwork Quality and Project Success in Large-Scale Agile Projects","T. Dingsøyr; P. Schneider; G. R. Bergersen; Y. Lindsjørn",Norwegian University of Science and Technology; Technical University of Munich; University of Oslo; University of Oslo,2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE),"18 Jun 2024","2024","","","51","56","A number of methods for large-scale agile development have recently been suggested. Much of the advice in agile methods focuses on teamwork. Prior research has established that teamwork quality influences project success both for traditional software development teams and agile teams. Further, prior studies have also suggested that teamwork quality may play out differently in large projects compared to small. We investigated the relationship between teamwork quality and project success with a survey of 196 project participants across 34 teams in four projects, replicating a previous study on single teams. The new data do not fit the previously established theoretical model, which raises several concerns. The observed effect of teamwork quality on project success operates differently across projects. We discuss possible reasons, which include disagreements on what characterises success in large-scale agile development, “concept drift” of teamwork quality factors, the possibility that interteam factors might have more influence on project success than intrateam factors, and finally, that our study design does not capture all relevant levels and functions. We conclude with a call for more studies on the quality and frequency of interaction between teams in addition to internal team factors to further advance theory and practice within large-scale agile software development.","2574-1837","979-8-4007-0533-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556487","large-scale agile software development;team performance;teamwork quality","Surveys;Q-factor;Agile software development;Data models;Teamwork;Software engineering","","","","32","CCBY","18 Jun 2024","14-15 April 2024","14-15 April 2024","IEEE","IEEE Conferences"
"Use of software metrics in agile software development process","K. V. J. Padmini; H. M. N. Dilum Bandara; I. Perera","Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka",2015 Moratuwa Engineering Research Conference (MERCon),"1 Jun 2015","2015","","","312","317","While software metrics typically help to assess the status of a project, process, product, and resource use, the suitability of metrics in Agile Software Development (ASD) process is frequently questioned due to the overheads involved. Moreover, many established metrics used in the Traditional Software Development (TSD) process, cannot be directly applied to ASD due to its iterative and incremental development process that is willing to incorporate changes throughout. Nevertheless, very little is explored about the use and suitability of metrics in the context of ASD. We fill this gap by exploring metrics suitable for the ASD process, use of those metrics in practice, perceived benefits, and related tools. Our survey and interview based analysis of 24 development companies identified 10 metrics that can be beneficial to the ASD process, where their benefits outweigh the overheads involved.","","978-1-4799-1740-2","10.1109/MERCon.2015.7112365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7112365","agile software development process;software metries;traditional software development process;scrum development process","Variable speed drives;Companies;Software;Interviews;Indexes;Software metrics","","22","","18","IEEE","1 Jun 2015","7-8 April 2015","7-8 April 2015","IEEE","IEEE Conferences"
"Software quality and agile methods","Ming Huo; J. Verner; Liming Zhu; M. A. Babar","NICTA, Australia; NICTA, Australia; NICTA, Australia; NICTA, Australia","Proceedings of the 28th Annual International Computer Software and Applications Conference, 2004. COMPSAC 2004.","18 Oct 2004","2004","","","520","525 vol.1","Agile methods may produce software faster but we also need to know how they meet our quality requirements. In this paper we compare the waterfall model with agile processes to show how agile methods achieve software quality under time pressure and in an unstable requirements environment, i.e. we analyze agile software quality assurance. We present a detailed waterfall model showing its software quality support processes. We then show the quality practices that agile methods have integrated into their processes. This allows us to answer the question ""can agile methods ensure quality even though they develop software faster and can handle unstable requirements?"".","0730-3157","0-7695-2209-2","10.1109/CMPSAC.2004.1342889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1342889","","Software quality;Programming;Software engineering;Australia;Collaboration;Quality assurance;Computer applications;Application software;Continuous improvement","","19","","14","IEEE","18 Oct 2004","28-30 Sept. 2004","28-30 Sept. 2004","IEEE","IEEE Conferences"
"From Cradle to Sprint: Creating a Full-Lifecycle Request Pipeline at Nationwide Insurance","K. G. Fisher; A. Bankston","Nationwide Insurance, Columbus, USA; LitheSpeed, Annandale, USA",2009 Agile Conference,"25 Sep 2009","2009","","","223","228","After a successful transition from a prescriptive waterfall process to Scrum and XP, the Corporate Internet Solutions group at Nationwide Insurance found velocity and efficiency stumbling due to the competing and vague priorities of corporate silos. This presentation discusses how the team evolved the traditional Scrum process to better manage 17 dependent projects, and reluctant internal business partners, through a combination of activities including clear Pre-Discovery activities, scenario planning, RITE usability testing, and kanban-style visual management systems.","","978-0-7695-3768-9","10.1109/AGILE.2009.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261080","Scrum;Product Management;User Experience;User Centered Design;Business Alignment;Product Owner","Pipelines;Insurance;Companies;Project management;Usability;Web and internet services;Collaboration;Process planning;System testing;Loans and mortgages","","4","","2","IEEE","25 Sep 2009","24-28 Aug. 2009","24-28 Aug. 2009","IEEE","IEEE Conferences"
"Teaching Agile Software Development: A Case Study","V. Devedžić; S. R. Milenkovic","FON-School of Business Administration, University of Belgrade, Belgrade, Serbia; School of Business Administration, University of Belgrade, Belgrade, Serbia",IEEE Transactions on Education,"2 May 2011","2011","54","2","273","278","This paper describes the authors' experience of teaching agile software development to students of computer science, software engineering, and other related disciplines, and comments on the implications of this and the lessons learned. It is based on the authors' eight years of experience in teaching agile software methodologies to various groups of students at different universities, in different cultural settings, and in a number of courses and seminars. It specifically discusses three different courses on agile software development, given in different teaching settings and at different levels, and briefly surveys variations to these courses given elsewhere. Based on the experience acquired, analyses and evaluations conducted, and current pedagogical trends at relevant university departments, the authors provide recommendations on how to overcome potential problems in teaching agile software development and make their adoption more effective.","1557-9638","","10.1109/TE.2010.2052104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5487434","Agile software development (ASD);computer science education;Extreme Programming (XP);Scrum","Variable speed drives;Educational institutions;Programming;Software;Testing;Industries","","74","","30","IEEE","17 Jun 2010","May 2011","","IEEE","IEEE Journals"
"Forming to Performing: Transitioning Large-Scale Project Into Agile","E. C. Lee",NA,Agile 2008 Conference,"15 Aug 2008","2008","","","106","111","This experience report discusses a large scale team transitioning from waterfall to Agile while going through all phases of Tuckman's model. I describe the issues we encountered, lessons we learned, and how we coped with difficult situations in each of the four phases of the Tuckman's model of team development.","","978-0-7695-3321-6","10.1109/Agile.2008.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599458","","Productivity;Lead;Book reviews;Collaboration;Testing;Heating;Transforms","","16","","5","IEEE","15 Aug 2008","4-8 Aug. 2008","4-8 Aug. 2008","IEEE","IEEE Conferences"
"Achieving quality product in a long term software product development in healthcare application using Lean and Agile principles: Software engineering and software development","K. N. Manjunath; J. Jagadeesh; M. Yogeesh","CTDC H2 AA PT, Siemens Technology And Services Pvt. Ltd., Bengaluru, India; CTDC H2 AA PT, Siemens Technology And Services Pvt. Ltd., Bengaluru, India; CTDC H2 AA PT, Siemens Technology And Services Pvt. Ltd., Bengaluru, India","2013 International Mutli-Conference on Automation, Computing, Communication, Control and Compressed Sensing (iMac4s)","10 Jun 2013","2013","","","26","34","The objective of any software development is to deploy quality product with zero defects by meeting the end user expectations. There are several Software Development Life Cycle methodologies being followed to achieve this and the selection of best methodology is circumstance dependent. With our experience using Lean and Agile principles since last 4 years, in this paper we would like to explain in detail with statistics that these principles and practices can be successfully implemented in a iterative model development SDLC to achieve the matured, quality software in a long term medical imaging product. We will prove that it has positive impact on the software quality by comparing the outcome after following Lean and Agile principles with the prior results where traditional waterfall method was followed.","","978-1-4673-5090-7","10.1109/iMac4s.2013.6526379","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6526379","V model;Waterfall model;Agile;Lean;Iterative development;Software Development Life Cycle","Software;Testing;Encoding;Schedules;Computer bugs;Guidelines","","13","","18","IEEE","10 Jun 2013","22-23 March 2013","22-23 March 2013","IEEE","IEEE Conferences"
